Weg [m],Masse [g],TV,t1,t2,t3
0.2,0,M1,0.813,0.859,0.856
0.3,0,M1,1.034,1.096,1.126
0.4,0,M1,1.25,1.239,1.245
0.5,0,M1,1.38,1.362,1.385
0.6,0,M1,1.487,1.483,1.524
0.7,0,M1,1.601,1.64,1.656
0.8,0,M1,1.787,1.751,1.771
0.2,0,M2,0.057,0.057,0.057
0.3,0,M2,0.047,0.047,0.047
0.4,0,M2,0.041,0.041,0.041
0.5,0,M2,0.037,0.037,0.037
0.6,0,M2,0.034,0.034,0.034
0.7,0,M2,0.031,0.031,0.031
0.8,0,M2,0.029,0.029,0.029
0.5,10,M3,1.419,1.479,1.431
0.5,20,M3,1.426,1.452,1.477
0.5,30,M3,1.479,1.511,1.495
0.5,40,M3,1.494,1.545,1.506
0.5,50,M3,1.522,1.551,1.556
0.5,60,M3,1.554,1.571,1.578
0.5,70,M3,1.609,1.649,1.589
